wallet_address,farmer_score,priority_tier,wallet_age_days,tx_count_before_first_inflow,token_type_diversity,inflow_to_outflow_hours,shared_funder_score,inter_tx_time_variance,unique_counterparty_count
0x5f36ef6159685179fe34c1bdb79b08d206843a25,1.0,deprioritize,279.28541779711844,1.0,15.0,0.2833333333333333,2.772588722239781,626412776997.3019,9.0
0xec9da9e7b71be71ceb4a01cb696946511c1727e2,0.0,normal,1428.1885312241316,26.0,17.0,0.03,3.4339872044851463,6665296299804.719,63.0
0xcc0837a34af3ef10b8f95c65bca1ca44eabbe1ee,0.0,normal,2149.053982614839,2.0,78.0,0.010277777777777778,0.0,6147905729751.007,87.0
0xa19d833dbb8bb26840d079de1003d25373e089a8,0.0,normal,900.6769456018645,11.0,103.0,0.0033333333333333335,2.70805020110221,359931437424.61475,130.0
0x3a634e16cafae288199a62ef2061d65adf123c06,0.0,normal,2194.583751183889,1.0,52.0,0.009166666666666667,0.0,2672703953597.4824,97.0
0x1930b7f236d94e872a0b9ded104ba092d85a3856,0.0,normal,1991.3711701768968,0.0,249.0,0.0,2.0794415416798357,67126220612.69521,502.0
0x487b52948aeeb8bbe3008afd4f92b8220a235d68,1.0,deprioritize,1669.9538208692245,1.0,23.0,0.012777777777777779,4.02535169073515,23689162683544.5,49.0
0x4e7bec47b0c553fd0e70912d9023b6e881bdc710,0.0,normal,1788.1801981860867,1.0,125.0,0.0,2.6390573296152584,1808859726730.4392,117.0
0xce014dac4bb61aaa55e09ebfda901cff1c2de989,0.8908,deprioritize,1117.4948625756138,2.0,53.0,0.0,2.0794415416798357,1559978224949.1794,81.0
0x14265a87f5f81b2bfa3ff94a634fe6c14ae86295,1.0,deprioritize,512.3819459145709,2.0,3.0,0.08,2.4849066497880004,19318871018675.715,13.0
0xf1e23d1c56e309ecf0fc695f0cd3b7edfe08ded5,0.0,normal,1641.4540986932648,0.0,29.0,0.03,3.4339872044851463,3292897641210.84,121.0
0x8fac841807e21807f511daf3c04a34cd78661f4c,0.0,normal,2139.8180801783087,0.0,249.0,0.0,0.0,125808597709.32318,640.0
0xd55fa8efce8d5614ea62eeee32e6060a1f845320,0.0,normal,1546.9374669356148,113.0,91.0,0.016666666666666666,0.0,134543810805.77164,308.0
0x837cf2dfcb3d14a44545e91399dc0400ef42eb3d,0.9662,deprioritize,998.0962516809834,7.0,29.0,0.02,2.0794415416798357,1329621482065.1094,63.0
0x4a985dd4279db1150c2e964fa8c30ec3f8c960fc,0.0,normal,1127.7858350187953,7.0,12.0,0.02,0.0,9251370867246.39,43.0
0x9445e53f069203f7a396838ebef11f90c517164f,0.0,normal,2164.1592030759157,0.0,134.0,0.016666666666666666,2.0794415416798357,434225811823.74005,283.0
0x5afee67546f695b468f23e147fe95cb0c05990c1,0.0,normal,3105.2938097205897,5.0,125.0,0.019166666666666665,0.0,11915141655615.99,176.0
0xde0e14e314ec13cabc21272f9dd27dec0c92b504,0.0,normal,2288.401923204583,3.0,238.0,0.0,0.0,115641666962.0511,389.0
0xaa33f700653c8bec7b731b9de3e81bfe53b8b8e5,0.0,normal,2316.086842577361,1.0,132.0,0.017777777777777778,2.0794415416798357,340990193361.8383,274.0
0x5e14d588d95c4d166d80a542eef1bd9ff11a6dd3,1.0,deprioritize,280.2591690859033,0.0,3.0,0.36666666666666664,3.091042453358316,17260579065.6,6.0
0xb73fb8e791c4d24a8923d7c7693d02c589caee65,1.0,deprioritize,1669.9687871424303,1.0,23.0,0.014722222222222222,4.02535169073515,19085107888876.18,50.0
0xc4476ef762e2d53494493e4ad99cfc8ed8c08dde,0.0,normal,1718.927826496575,20.0,31.0,0.023333333333333334,2.833213344056216,3806449817949.346,145.0
0x8cc29bf9f2a886d48725b40bb708bf27d0b4ae16,1.0,deprioritize,283.7411135394788,2.0,3.0,3.8033333333333332,3.091042453358316,6440364931248.0,6.0
0x9df29f7e3cf37506882b75f09d244afd65a23818,0.9997,deprioritize,313.6523635403812,4.0,14.0,0.023333333333333334,2.6390573296152584,1175685727919.6736,22.0
0x321f179f74f096ecd01751f62f2518c83d2f72bc,1.0,deprioritize,1708.2606853011803,2.0,25.0,0.013333333333333334,4.02535169073515,11535352355769.03,58.0
0x1ef6242720beb2893ee2310b63ff46fb2cf37217,0.0,normal,1387.3691343779392,11.0,46.0,0.0,0.0,1238717310224.1296,154.0
0xdddb8a6aeca765fa513c3fefc755800072e3c29a,0.0613,normal,913.4726413302317,13.0,16.0,0.04,2.0794415416798357,995980674024.1731,38.0
0xd0058799f6e7bebd921d94b12e25dd7a955049c5,0.0,normal,2186.5816112395596,3.0,105.0,0.0,0.0,5985678045140.641,240.0
0xc669add6951faa65b617c3e13101c06b6b2b998d,0.0001,normal,1184.8488915339801,12.0,65.0,0.016666666666666666,2.772588722239781,1262095651276.4858,104.0
0x8688a84fcfd84d8f78020d0fc0b35987cc58911f,0.0,normal,3297.618579044582,68.0,143.0,0.014166666666666666,0.0,14829737739776.23,208.0
0x0e7e311b25ba9833a9599a6745422bb8fe8bec6c,1.0,deprioritize,276.4191693765394,1.0,1.0,0.6566666666666666,3.295836866004329,7296740.0,5.0
